City ID,City,Country,Date_Unix_format,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Prainha,BR,1547513152,1/15/2019 0:45,-1.8,-53.48,78.25,91,80,1.72
112,Rio Claro,BR,1547510400,1/15/2019 0:00,-22.41,-47.56,75.2,69,75,8.05
113,Rio Grande,BR,1547513090,1/15/2019 0:44,-32.03,-52.1,75.14,98,92,3.85
114,Sao Borja,BR,1547513137,1/15/2019 0:45,-28.66,-56,77.8,92,24,6.08
115,Sao Jose do Campestre,BR,1547510400,1/15/2019 0:00,-6.32,-35.71,80.6,78,40,12.75
116,Touros,BR,1547510400,1/15/2019 0:00,-5.2,-35.46,78.8,88,40,4.7
117,Trairi,BR,1547513136,1/15/2019 0:45,-3.28,-39.27,79.91,100,12,6.31
118,Tutoia,BR,1547513089,1/15/2019 0:44,-2.76,-42.27,76.45,99,92,4.23
119,Vila Velha,BR,1547510400,1/15/2019 0:00,-3.71,-38.6,80.6,88,40,2.24
120,Xapuri,BR,1547513098,1/15/2019 0:44,-10.65,-68.5,78.79,84,56,2.1
121,Freetown,BS,1547510400,1/15/2019 0:00,26.61,-78.36,69.8,83,20,9.17
122,Kalakamati,BW,1547513098,1/15/2019 0:44,-20.59,27.31,71.63,73,32,8.59
123,Kang,BW,1547513123,1/15/2019 0:45,-23.67,22.79,75.28,64,64,7.43
124,Letlhakane,BW,1547513075,1/15/2019 0:44,-21.42,25.59,70.64,76,32,7.14
125,Shakawe,BW,1547513151,1/15/2019 0:45,-18.36,21.84,70.46,86,8,6.08
126,Aklavik,CA,1547510400,1/15/2019 0:00,68.22,-135.01,-20.21,67,5,4.7
127,Altamont,CA,1547511300,1/15/2019 0:15,49.4,-98.5,14,100,36,8.05
128,Bonavista,CA,1547513147,1/15/2019 0:45,48.65,-53.11,22,100,0,10.83
129,Clyde River,CA,1547511300,1/15/2019 0:15,70.47,-68.59,-29.21,66,75,6.93
130,Flin Flon,CA,1547510400,1/15/2019 0:00,54.77,-101.88,3.2,77,90,6.93
131,Geraldton,CA,1547510400,1/15/2019 0:00,49.72,-86.95,6.8,77,20,2.24
132,Goderich,CA,1547512913,1/15/2019 0:41,43.74,-81.71,22.13,79,44,9.82
133,Golden,CA,1547510400,1/15/2019 0:00,51.3,-116.96,24.8,79,90,2.24
134,Halifax,CA,1547510400,1/15/2019 0:00,44.65,-63.58,17.6,67,40,6.93
135,Hamilton,CA,1547510400,1/15/2019 0:00,43.26,-79.87,28.4,79,40,8.05
136,Havre-Saint-Pierre,CA,1547511540,1/15/2019 0:19,50.23,-63.6,15.8,78,90,9.17
137,Hay River,CA,1547510400,1/15/2019 0:00,60.82,-115.79,-18.41,75,40,5.82
138,Hudson Bay,CA,1547513155,1/15/2019 0:45,52.86,-102.4,21.1,92,92,5.08
139,Iqaluit,CA,1547510400,1/15/2019 0:00,63.75,-68.52,-0.41,70,90,9.17
140,Kapuskasing,CA,1547510400,1/15/2019 0:00,49.42,-82.43,14,85,75,5.82
141,La Ronge,CA,1547510400,1/15/2019 0:00,55.1,-105.3,23,92,90,3.36
142,Lac du Bonnet,CA,1547513144,1/15/2019 0:45,50.25,-96.06,9.4,83,44,3.74
143,Norman Wells,CA,1547510400,1/15/2019 0:00,65.28,-126.83,-9.41,63,40,6.93
144,Normandin,CA,1547510400,1/15/2019 0:00,48.84,-72.53,14,78,90,10.29
145,Notre-Dame-du-Lac,CA,1547509980,1/14/2019 23:53,47.61,-68.8,12.02,63,1,3.29
146,Pangnirtung,CA,1547506800,1/14/2019 23:00,66.15,-65.72,-7.61,69,90,13.87
147,Penticton,CA,1547510400,1/15/2019 0:00,49.49,-119.59,30.2,80,90,3.36
148,Port Hardy,CA,1547510400,1/15/2019 0:00,50.7,-127.42,44.6,87,5,2.89
149,Port Hawkesbury,CA,1547510640,1/15/2019 0:04,45.62,-61.36,12.2,85,75,6.93
150,Prince Rupert,CA,1547510400,1/15/2019 0:00,54.32,-130.32,44.6,93,75,3.51
151,Saint-Georges,CA,1547513096,1/15/2019 0:44,46.12,-70.67,1.84,86,0,4.12
152,Saint-Philippe,CA,1547510400,1/15/2019 0:00,45.36,-73.48,14,78,90,5.82
153,Sooke,CA,1547511000,1/15/2019 0:10,48.37,-123.73,46.4,84,1,2.33
154,Strathmore,CA,1547510400,1/15/2019 0:00,51.04,-113.4,39.2,55,20,9.17
155,Stromness,CA,1547510400,1/15/2019 0:00,42.87,-79.55,26.06,79,40,8.05
156,Thompson,CA,1547511060,1/15/2019 0:11,55.74,-97.86,-5.81,76,90,5.82
157,Torbay,CA,1547510400,1/15/2019 0:00,47.66,-52.73,23,79,90,13.87
158,Tuktoyaktuk,CA,1547510400,1/15/2019 0:00,69.44,-133.03,-7.61,76,75,16.11
159,Ucluelet,CA,1547510400,1/15/2019 0:00,48.94,-125.55,46.4,81,5,2.24
160,Yellowknife,CA,1547510400,1/15/2019 0:00,62.45,-114.38,-20.21,75,40,6.93
161,Buta,CD,1547513107,1/15/2019 0:45,2.79,24.73,69.16,97,36,3.74
162,Kindu,CD,1547513072,1/15/2019 0:44,-2.95,25.92,72.71,89,92,2.06
163,Likasi,CD,1547513156,1/15/2019 0:45,-10.99,26.74,64.88,100,88,3.74
164,Mbandaka,CD,1547513067,1/15/2019 0:44,0.05,18.26,73.84,98,48,2.51
165,Bangassou,CF,1547513138,1/15/2019 0:45,4.74,22.82,74.24,83,32,4.12
166,Birao,CF,1547513080,1/15/2019 0:44,10.3,22.78,69.43,35,12,9.82
167,Zemio,CF,1547513128,1/15/2019 0:45,5.02,25.13,74.38,74,64,2.51
168,San-Pedro,CI,1547513144,1/15/2019 0:45,4.75,-6.64,77.39,95,20,5.86
169,Tabou,CI,1547513089,1/15/2019 0:44,4.42,-7.36,82.61,100,0,7.92
170,Avarua,CK,1547510400,1/15/2019 0:00,-21.21,-159.78,84.2,70,40,4.7
171,Ancud,CL,1547510400,1/15/2019 0:00,-41.87,-73.83,60.8,67,20,4.7
172,Castro,CL,1547510400,1/15/2019 0:00,-42.48,-73.76,60.8,67,20,4.7
173,Coquimbo,CL,1547510400,1/15/2019 0:00,-29.95,-71.34,64.4,72,0,8.05
174,La Serena,CL,1547510400,1/15/2019 0:00,-29.9,-71.25,64.4,72,0,8.05
175,Punta Arenas,CL,1547510400,1/15/2019 0:00,-53.16,-70.91,57.2,58,75,6.93
176,Baoding,CN,1547513091,1/15/2019 0:44,38.86,115.49,13.36,24,0,10.27
177,Caohai,CN,1547513111,1/15/2019 0:45,26.87,104.28,27.85,92,92,3.89
178,Chifeng,CN,1547513063,1/15/2019 0:44,42.27,118.96,0.26,30,0,14.47
179,Datong,CN,1547513156,1/15/2019 0:45,40.09,113.3,-8.29,43,0,6.02
180,Gaomi,CN,1547510400,1/15/2019 0:00,36.37,119.8,32,71,20,17.9
181,Jiangyou,CN,1547513147,1/15/2019 0:45,31.78,104.73,35.05,56,56,8.03
182,Jiazi,CN,1547510400,1/15/2019 0:00,19.61,110.49,69.8,94,75,8.95
183,Kuandian,CN,1547513076,1/15/2019 0:44,40.73,124.78,10.61,52,0,10.94
